file,title,step_number,step,gt_action,gt_targets,m1_action,m1_targets,m1_correct,m2_action,m2_targets,m2_correct,m3_action,m3_targets,m3_correct,m4_action,m4_targets,m4_correct,m5_action,m5_targets,m5_correct,m6_action,m6_targets,m6_correct
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,8,"Enter first name, last name, email, confirm email, password, and confirm password",Enter,"first name, last name, email, confirm email, password, confirm password",Enter,"first name, last name, email, confirm email, password, and confirm password",TRUE,Enter,"first name, last name, email, confirm email, password, and confirm password",TRUE,,,FALSE,,,FALSE,Enter,"first name, last name, email,",FALSE,Enter,"first name, last name, email, confirm email, password, and confirm password",TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,9,Click 'Sign Up' button,Click,Sign Up,Click,Sign Up,TRUE,Click,Sign Up,TRUE,,,FALSE,,,FALSE,Click,Sign Up,TRUE,Click,Sign Up,TRUE
App2-TestCase5.feature,Test Case 5: Successfully Register a New User,10,Verify success message 'Registration completed successfully!' is visible,Verify,Registration completed successfully!,Verify,Registration completed successfully!,TRUE,Verify,Registration completed successfully!,TRUE,completed,Registration completed successfully!,FALSE,completed successfully,Registration completed successfully!,FALSE,Verify,Registration completed successfully!,TRUE,Verify,Registration completed successfully!,TRUE
App2-TestCase6.feature,Test Case 6: Successfully Register a New Movie,1,Launch browser,Launch,browser,Launch,browser,TRUE,Launch,browser,TRUE,,,FALSE,,,FALSE,browser,,FALSE,Launch,browser,TRUE
App2-TestCase6.feature,Test Case 6: Successfully Register a New Movie,2,Navigate to url 'http://localhost:5173/',Navigate,http://localhost:5173/,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE,url,http://localhost:5173/,FALSE,url,http://localhost:5173/,FALSE,Navigate,http://localhost:5173/,TRUE,Navigate,http://localhost:5173/,TRUE
App2-TestCase6.feature,Test Case 6: Successfully Register a New Movie,3,Verify that home page is visible successfully,Verify,home page,Verify,home page,TRUE,Verify,home page,TRUE,Verify,that home page,TRUE,Verify,that home page,TRUE,is,,FALSE,Verify,home page,TRUE
App2-TestCase6.feature,Test Case 6: Successfully Register a New Movie,4,Click on 'CreateMovie' button,Click,CreateMovie,Click,CreateMovie,TRUE,Click,CreateMovie,TRUE,,,FALSE,,,FALSE,Click,CreateMovie,TRUE,Click,CreateMovie,TRUE
App2-TestCase6.feature,Test Case 6: Successfully Register a New Movie,5,"Fill in all required fields: url cartaz, nome, descrição, faixa etária, diretor(a), escritor(a), ator(a), gênero, and data de lançamento",Fill,"url cartaz, nome, descrição, faixa etária, diretor(a), escritor(a), ator(a), gênero, data de lançamento",Fill,"all required fields: url cartaz, nome, descrição, faixa etária, diretor(a), escritor(a), ator(a), gênero, and data de lançamento",TRUE,Fill,"all required fields: url cartaz, nome, descrição, faixa etária, diretor(a), escritor(a), ator(a), gênero, and data de lançamento",TRUE,,,FALSE,,,FALSE,Fill,all required fields,FALSE,Fill,"all required fields: url cartaz, nome, descrição, faixa etária, diretor(a), escritor(a), ator(a), gênero, and data de lançamento",TRUE
App2-TestCase6.feature,Test Case 6: Successfully Register a New Movie,6,Click 'Criar' button,Click,Criar,Click,Criar,TRUE,Click,Criar,TRUE,,,FALSE,,,FALSE,Click,Criar,TRUE,Click,Criar,TRUE
App2-TestCase6.feature,Test Case 6: Successfully Register a New Movie,7,Verify success message 'Film Created Successfully!' is visible,Verify,Film Created Successfully!,Verify,Film Created Successfully!,TRUE,Verify,Film Created Successfully!,TRUE,is,Film Created Successfully!,FALSE,is,Film Created Successfully!,FALSE,Verify,Film Created Successfully!,TRUE,Verify,Film Created Successfully!,TRUE
